EGolden_SWOA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
0,66707.5022,2.18E+13,151323.6193,87.47656744,244766540.7,68168.46,120.7008924,-2148.474747,445.0050969,20.6431737,614.077806,570894348.4,1075433155,165.7613449,0.300866065,0.474307045,2.649354761,74.78366745,-3.282328872,-1.576964366,-0.50951028,-0.696622706,-0.784919236
1,53787.28856,2.10E+12,139536.2058,80.00474853,177582202.7,53251.04,99.82921572,-4173.292137,388.8799551,19.00997731,459.7888248,439698519.8,797182488.5,66.99895423,0.081695335,-0.376068202,1.675184433,34.83111606,-3.47083221,-1.910427485,-0.888477081,-0.930371384,-0.940618727
2,34311.42042,43667062440,128284.0207,65.05687661,122185915,32649.04,59.83121711,-5331.409482,331.6412555,16.10544421,285.1061948,264843034.9,552762267.6,32.86272719,0.035335659,-0.657201005,0.999433521,24.50308798,-3.536185228,-2.104002666,-1.542338093,-1.328865703,-1.410306662
3,21159.61706,3331096.22,121275.7198,55.80690811,70667418.37,19343.28,32.11686511,-5957.012191,252.2018041,14.03170714,155.5834295,170024643.2,333208438.1,22.72675313,0.019145678,-0.803880584,0.867978587,18.82199919,-3.584612646,-2.275932552,-2.287135508,-1.744858562,-1.78396401
4,11521.72487,12138.0325,107870.1694,47.09130542,52452729.18,11322.82,19.3109963,-6638.577576,205.2493763,11.11080066,96.996916,81949366.65,154317562.3,20.12471777,0.011485039,-0.861922762,0.780596581,14.56607663,-3.622810713,-2.366362752,-2.548249977,-2.505346605,-2.227573676
5,4921.418856,577.8295487,102891.0759,38.52885778,25264634.66,6979.2,9.436340808,-7142.394056,156.5681137,8.882333813,66.06116576,56678656.19,66594430.87,15.56662368,0.009057374,-0.906346298,0.685315931,12.47057949,-3.648418404,-2.471528339,-3.250747178,-2.91213108,-2.574205224
6,2348.96775,58.36358104,89981.57296,29.2178213,14340016.46,4085.04,4.272075792,-7464.64148,141.3504845,6.889770819,44.02211121,22487498.93,39721849.22,10.60618512,0.007232232,-0.934895485,0.644172143,10.51407561,-3.67305579,-2.561596696,-3.978700553,-3.345466275,-3.042024517
7,1413.253068,14.97175514,85092.38192,25.2021339,5622858.09,2265.36,2.043140484,-7914.032661,114.4045745,5.306787128,25.74174687,17568739.6,18107461.61,9.787699917,0.006062289,-0.970643288,0.588569175,9.717579427,-3.681163636,-2.600074123,-4.427759889,-3.934809217,-3.641679073
8,946.510285,10.14995367,77809.17253,22.30514547,3027534.208,1420.54,1.024922918,-8125.937062,94.53324445,3.926033157,16.48316497,14098423.49,7371502.372,8.730045946,0.005136143,-0.991140069,0.562363801,9.119666073,-3.702019453,-2.637133502,-4.748655373,-4.261728018,-3.922685404
9,542.2117846,7.948670641,74423.61241,17.58979834,1498037.513,849.56,0.393693647,-8382.598837,77.5559519,3.001780285,11.82570575,10518130.22,4475932.592,8.575811741,0.004473094,-1.003027028,0.556937395,8.495893886,-3.716081679,-2.677058714,-5.161700632,-4.483584508,-4.150870658
10,369.7890327,5.034186292,63352.29632,13.08203307,536082.4182,535.22,0.243060412,-8565.798049,65.74682746,2.322569326,5.992834801,3302199.796,1821595.119,8.230225058,0.004253276,-1.013264959,0.541895637,7.878317858,-3.726498664,-2.704614749,-5.36656005,-5.024994301,-4.51689075
11,244.7517645,3.9389699,55864.73361,11.04184352,357073.223,266.68,0.179655375,-8728.2988,57.49046748,1.955599897,4.29E+00,2416919.275,650562.062,6.741136982,0.003671806,-1.014351849,0.527824503,7.129271823,-3.730631223,-2.724915039,-5.752913189,-5.278652724,-4.824731783
12,206.3278762,3.325425387,49325.04936,8.791576592,255294.3206,205.64,0.148467287,-8850.61568,46.96656873,1.611237503,2.84E+00,1583197.609,646873.5124,6.132949167,0.003371893,-1.017930927,0.517849341,6.563717406,-3.736865905,-2.753047822,-5.957135021,-5.352248718,-5.146966295
13,121.6961167,2.937778654,4.66E+04,6.441568287,197194.3751,122.96,0.134601827,-9000.695151,41.91419054,1.49581186,2.44E+00,1491949.231,618411.4551,5.948797734,0.003185298,-1.018264457,0.512412606,6.244957123,-3.743548538,-2.767144026,-6.112201366,-5.485241375,-5.513390572
14,1.09E+02,2.544490283,4.47E+04,5.764724306,129563.1122,99.4,0.114062763,-9198.153326,37.0604268,1.365816347,2.08E+00,28336.39574,561864.4402,5.719653955,0.003050399,-1.019824797,0.503220204,6.03488471,-3.75286965,-2.795018978,-6.222515992,-5.550574026,-5.858379912
15,7.32E+01,2.171133304,4.04E+04,4.4658445,83164.23821,83.4,0.095157322,-9350.226763,35.05885682,1.23968685,1.61E+00,1650.259392,37528.87666,5.497347422,0.002835625,-1.021951136,0.495337,5.899640193,-3.756171406,-2.806039817,-6.361274458,-5.866599026,-6.136880084
